state,avg_state_population,avg_cost_to_income_ratio
Alabama,4860401.133333334,0.131774658162818
Alaska,736676.1492537314,0.1362117293858867
Arizona,6862593.933333334,0.15465454405518383
Arkansas,3000169.255613126,0.12365057284885317
California,38522298.35714286,0.1711617752958597
Colorado,5549786.382978723,0.1693049068732596
Connecticut,3577083.4,0.15626652154861267
Delaware,942260.3333333334,0.12501612184285626
District of Columbia,640707.3333333334,0.1978310157548517
Florida,20007265.252347417,0.13955231405398313
Georgia,10540066.125,0.11691316764162647
Hawaii,1423377.037037037,0.13078073415116478
Idaho,1730267.0,0.11926951169452386
Illinois,12814030.652816901,0.14041187534641195
Iowa,3162175.1428571427,0.11152032983412061
Kansas,2891759.933333333,0.09561709891569525
Kentucky,4414942.2,0.1308891056850594
Louisiana,4608224.933333334,0.12954753761564955
Maine,1342302.2727272727,0.15791038935860857
Maryland,6043605.7,0.12052193402213188
Massachusetts,6761406.133333334,0.18257601131970883
Michigan,9951370.933333334,0.13953361360812697
Minnesota,5484029.866666666,0.13826276584669367
Mississippi,2985605.4444444445,0.10064988911320939
Missouri,6110177.714285715,0.14767503089732453
Montana,1068236.0,0.15413524680738813
Nebraska,1935187.0,0.12440311907901297
Nevada,2797025.9044585987,0.13266382634622734
New Hampshire,1366405.1666666667,0.14329811208716708
New Jersey,8979716.375,0.13035240094045283
New York,19645513.666666668,0.16708668119940073
North Carolina,10294841.666666666,0.15075447242485035
North Dakota,727751.6666666666,0.11522195927142523
Ohio,11629233.642857144,0.15555917083147175
Oklahoma,3869843.6,0.13893542081531277
Oregon,4030833.066666667,0.14941418335656945
Pennsylvania,12740485.307692308,0.1482878685211687
Puerto Rico,3263584.0,0.19706125166477623
Rhode Island,1070576.1666666667,0.15381726372409935
South Carolina,5056868.111111111,0.13614224658313173
South Dakota,856744.4906832298,0.09806333729737177
Tennessee,6609230.066666666,0.1259558953839255
Texas,27478959.85714286,0.12181242636066175
Utah,3013319.6,0.11426296419624196
Vermont,626365.3571428572,0.1650702669091869
Virginia,8329106.588811995,0.12342531003694052
Washington,7184628.133333334,0.19299513812254884
West Virginia,1823882.1333333333,0.14135596525404004
Wisconsin,5765692.11342155,0.1522043052501857
Wyoming,581529.8541666666,0.11483882321986805
